generation,best_fitness,avg_fitness
0,4.723349739347392,6.878311862014031
1,4.723349739347392,6.955980405214104
2,4.648747074303645,6.934223543055214
3,4.621316515555193,6.936954152958574
4,4.621316515555193,6.88759230534711
5,4.621316515555193,6.94685632331328
6,4.621316515555193,6.750185729249772
7,4.621316515555193,6.951695529784444
8,3.8652815541958168,6.938648341310518
9,3.8652815541958168,6.811504404054914
10,3.7688839826538674,6.8671287820162705
11,3.7688839826538674,6.844849370637348
12,3.7688839826538674,6.862655551247137
13,3.4561822328903133,6.7877602489425
14,3.4561822328903133,6.994444539874127
15,3.4561822328903133,6.9150755689289785
16,3.4561822328903133,6.9563628891482665
17,3.4561822328903133,7.028886713108221
18,3.4561822328903133,6.834716905738833
19,3.4561822328903133,6.750309027327744
20,3.4561822328903133,7.020429544516418
21,3.4561822328903133,6.895432251402481
22,3.4561822328903133,6.93730442628733
23,3.4561822328903133,6.681744625696824
24,3.4561822328903133,6.845315017509422
25,3.4561822328903133,6.824790632407294
26,3.4561822328903133,6.690699905496688
27,3.4561822328903133,6.771456268125564
28,3.4561822328903133,6.7743879327196534
29,3.4561822328903133,6.972978758981831
30,3.4561822328903133,6.857343693700386
31,3.4561822328903133,6.825292331057384
32,3.4561822328903133,6.895888580558339
33,3.4561822328903133,6.72681285834578
34,3.4561822328903133,6.761754850431348
35,3.4561822328903133,6.895256077285021
36,3.4561822328903133,6.858034382752635
37,3.4561822328903133,6.567140837430398
38,3.4561822328903133,7.000274236450849
39,3.4561822328903133,6.942128971560403
40,3.4561822328903133,6.724839593343269
41,3.4561822328903133,6.682479065745494
42,3.4561822328903133,6.644037543748704
43,3.4561822328903133,6.742850776461576
44,3.4561822328903133,6.622037268436742
45,3.4561822328903133,7.06779036063311
46,3.4561822328903133,6.846846773859022
47,3.4561822328903133,6.772356139029446
48,3.4561822328903133,6.835560568541933
49,3.4561822328903133,6.720699291722696
50,3.4561822328903133,6.85428321661357
51,3.4561822328903133,6.751521266672988
52,3.4561822328903133,6.693322527602334
53,3.4561822328903133,6.939750256745299
54,3.4561822328903133,6.9765178790887
55,3.4561822328903133,6.72987245224224
56,3.4561822328903133,6.8522061204764535
57,3.4561822328903133,6.745271203034498
58,3.4561822328903133,6.831161743282557
59,3.4561822328903133,6.634305460119956
60,3.4561822328903133,6.6234433160124055
61,3.4561822328903133,6.769748176819453
62,3.4561822328903133,6.870656241446913
63,3.4561822328903133,6.702869377278578
64,3.4561822328903133,7.007312634651255
65,3.4561822328903133,6.959737828831283
66,3.4561822328903133,6.725080347983139
