generation,best_fitness,avg_fitness
0,11.085986964531228,17.471910731211345
1,9.984031608672275,17.448427148172335
2,9.984031608672275,17.005577027107535
3,9.079204676858579,17.132461015024777
4,9.079204676858579,16.75968597578316
5,9.079204676858579,15.77850826846369
6,9.079204676858579,15.599446517336037
7,9.079204676858579,16.835066387639433
8,8.710868994290312,16.510135398716365
9,8.710868994290312,14.875838507269632
10,7.856510720512226,15.534916427084422
11,7.856510720512226,16.524592882453085
12,7.856510720512226,15.952654210795506
13,7.856510720512226,16.835919755072997
14,7.856510720512226,16.142539568366193
15,7.856510720512226,16.10998149762493
16,7.856510720512226,17.2198368213042
17,7.856510720512226,16.557441881863713
18,7.856510720512226,15.555656587633052
19,7.856510720512226,16.263347139951478
