generation,best_fitness,avg_fitness
0,6.730216574411945,10.71228923061072
1,6.730216574411945,11.143455050452149
2,6.730216574411945,11.02095958282297
3,6.730216574411945,11.111820184978972
4,6.520809959744807,10.89540930288956
5,6.286324163828303,11.339313128507406
6,6.286324163828303,10.839479081074135
7,6.278432254466988,10.0776976656854
8,6.278432254466988,11.089884645678673
9,6.028914083105765,10.625315599461084
10,6.028914083105765,10.712406130123481
11,6.028914083105765,10.773185252984733
12,5.519045037729173,10.496776578394046
13,5.519045037729173,10.830976022302742
14,5.519045037729173,10.412972254804167
15,5.519045037729173,10.442062056786874
16,5.519045037729173,10.125789611231289
17,5.519045037729173,10.34548391373183
18,5.519045037729173,11.0125628603839
19,5.519045037729173,10.994565249663278
