generation,best_fitness,avg_fitness
0,7.7821188354467505,17.145520261807945
1,7.7821188354467505,16.16060890645594
2,7.7821188354467505,16.262284876160013
3,7.7821188354467505,16.834305279451016
4,7.7821188354467505,16.223037791754955
5,7.453072888732102,15.983040120138677
6,7.453072888732102,15.881990290426799
7,7.453072888732102,16.070439117530746
8,7.453072888732102,16.69242868357832
9,7.453072888732102,17.702010960308307
10,7.258405371395433,15.99372007161134
11,7.258405371395433,15.97679610135059
12,7.258405371395433,16.152018575228055
13,7.258405371395433,15.769304563604583
14,7.258405371395433,15.857147854594833
15,7.258405371395433,15.061227360477522
16,7.258405371395433,15.59660785060027
17,7.258405371395433,16.76972198826048
18,7.258405371395433,15.622634685307549
19,7.258405371395433,14.714645033144786
